year,crime_rate,State
1971.0000000000002,2129.0,Rhode Island
1971.0000000000002,8188.0,South Carolina
1971.0000000000002,644.0,South Dakota
1971.0000000000002,12520.0,Tennessee
1971.0000000000002,43089.0,Texas
1971.0000000000002,1689.0,Utah
1971.0000000000002,333.0,Vermont
1971.0000000000002,15384.0,Virginia
1971.0000000000002,8154.999999999999,Washington
1971.0000000000002,2311.0,West Virginia
1971.0000000000002,3956.9999999999995,Wisconsin
1971.0000000000002,532.0,Wyoming
1972.0,10994.0,Alabama
1972.0,1204.0,Alaska
1972.0,8731.0,Arizona
1972.0,4840.0,Arkansas
1972.0,110667.0,California
1972.0,9555.0,Colorado
1972.0,6138.000000000001,Connecticut
1972.0,2181.0,Delaware
1972.0,12607.0,District of Columbia
1972.0,40252.0,Florida
1972.0,17823.0,Georgia
1972.0,1258.0,Hawaii
1972.0,1085.0,Idaho
1972.0,57162.0,Illinois
1972.0,12968.0,Indiana
1972.0,2519.0,Iowa
1972.0,4737.0,Kansas
1972.0,7446.0,Kentucky
1972.0,15711.999999999998,Louisiana
1972.0,1143.0,Maine
1972.0,26412.000000000004,Maryland
1972.0,17086.0,Massachusetts
1972.0,50425.0,Michigan
1972.0,6798.0,Minnesota
1972.0,7076.0,Mississippi
1972.0,18223.0,Missouri
1972.0,1079.0,Montana
1972.0,2638.0,Nebraska
1972.0,2264.0,Nevada
1972.0,490.99999999999994,New Hampshire
1972.0,27577.0,New Jersey
1972.0,4598.0,New Mexico
1972.0,138542.0,New York
1972.0,22087.0,North Carolina
1972.0,290.0,North Dakota
1972.0,32286.0,Ohio
1972.0,6289.0,Oklahoma
1972.0,6494.000000000001,Oregon
1972.0,33052.0,Pennsylvania
1972.0,2424.0,Rhode Island
1972.0,10312.0,South Carolina
1972.0,756.0,South Dakota
1972.0,12858.0,Tennessee
1972.0,41285.0,Texas
1972.0,2063.0,Utah
1972.0,445.00000000000006,Vermont
1972.0,16483.0,Virginia
1972.0,8627.0,Washington
1972.0,2299.0,West Virginia
1972.0,4358.0,Wisconsin
1972.0,511.0,Wyoming
1973.0,12390.0,Alabama
1973.0,1269.0,Alaska
1973.0,9877.0,Arizona
1973.0,5905.0,Arkansas
1973.0,116563.00000000001,California
1973.0,10088.0,Colorado
1973.0,6421.0,Connecticut
1973.0,2016.0,Delaware
1973.0,11626.0,District of Columbia
1973.0,46418.99999999999,Florida
1973.0,19738.0,Georgia
1973.0,1295.0,Hawaii
1973.0,1264.0,Idaho
1973.0,62456.99999999999,Illinois
1973.0,13696.0,Indiana
1973.0,2970.0,Iowa
1973.0,4956.0,Kansas
1973.0,7356.000000000001,Kentucky
1973.0,16020.0,Louisiana
1973.0,1258.0,Maine
1973.0,26092.999999999996,Maryland
1973.0,20475.0,Massachusetts
1973.0,52921.0,Michigan
1973.0,6926.0,Minnesota
1973.0,7734.0,Mississippi
1973.0,19441.0,Missouri
1973.0,1207.0,Montana
1973.0,2859.0,Nebraska
1973.0,3135.0000000000005,Nevada
1973.0,649.0,New Hampshire
1973.0,28845.0,New Jersey
1973.0,5219.0,New Mexico
1973.0,135468.0,New York
1973.0,23086.0,North Carolina
1973.0,389.00000000000006,North Dakota
1973.0,31304.0,Ohio
1973.0,6556.0,Oklahoma
1973.0,6511.999999999999,Oregon
1973.0,32397.0,Pennsylvania
1973.0,2749.0,Rhode Island
1973.0,10757.0,South Carolina
1973.0,869.0,South Dakota
1973.0,14770.999999999998,Tennessee
1973.0,45458.0,Texas
1973.0,2412.0,Utah
1973.0,327.0,Vermont
1973.0,16007.0,Virginia
